,name,set,rarity,link
0,Heracross,Triumphant Light,Uncommon,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004250_00_HERACROS_U_M_M_en_US.webp&w=828&q=75
1,Burmy,Triumphant Light,Common,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004260_00_MINOMUCCHI_C_M_en_US_UT.webp&w=828&q=75
2,Mothim,Triumphant Light,Uncommon,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004270_00_GAMALE_U_M_en_US_UT.webp&w=828&q=75
3,Combee,Triumphant Light,Common,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004280_00_MITSUHONEY_C_M_en_US_UT.webp&w=828&q=75
4,Vespiquen,Triumphant Light,Uncommon,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004290_00_BEEQUEN_U_M_en_US_UT.webp&w=828&q=75
5,Cherubi,Triumphant Light,Common,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004300_00_CHERINBO_C_M_en_US_UT.webp&w=828&q=75
6,Cherrim,Triumphant Light,Uncommon,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004310_00_CHERRIM_U_M_en_US_UT.webp&w=828&q=75
7,Cherrim,Triumphant Light,Uncommon,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004320_00_CHERRIM_U_M_en_US_UT.webp&w=828&q=75
8,Carnivine,Triumphant Light,Rare,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004330_00_MUSKIPPA_R_M_en_US_UT.webp&w=828&q=75
9,Leafeon ex,Triumphant Light,Double Rare,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004340_00_LEAFIAex_RR_M_en_US_UT.webp&w=828&q=75
10,Houndour,Triumphant Light,Common,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004350_00_DELVIL_C_M_en_US_UT.webp&w=828&q=75
11,Houndoom,Triumphant Light,Uncommon,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004360_00_HELLGAR_U_M_en_US_UT.webp&w=828&q=75
12,Heatran,Triumphant Light,Rare,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004370_00_HEATRAN_R_M_en_US_UT.webp&w=828&q=75
13,Marill,Triumphant Light,Common,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004380_00_MARIL_C_M_en_US_UT.webp&w=828&q=75
14,Azumarill,Triumphant Light,Common,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004390_00_MARILLI_C_M_en_US_UT.webp&w=828&q=75
15,Barboach,Triumphant Light,Common,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004400_00_DOJOACH_C_M_en_US_UT.webp&w=828&q=75
16,Whiscash,Triumphant Light,Uncommon,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004410_00_NAMAZUN_U_M_en_US_UT.webp&w=828&q=75
17,Snorunt,Triumphant Light,Common,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004420_00_YUKIWARASHI_C_M_en_US_UT.webp&w=828&q=75
18,Froslass,Triumphant Light,Uncommon,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004430_00_YUKIMENOKO_U_M_en_US_UT.webp&w=828&q=75
19,Snover,Triumphant Light,Common,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004440_00_YUKIKABURI_C_M_en_US_UT.webp&w=828&q=75
20,Abomasnow,Triumphant Light,Rare,https://pocket.pokemongohub.net/_next/image?url=%2Ftcg-pocket%2Fcards%2Fa2a%2Fwebp%2FcPK_10_004450_00_YUKINOOH_R_M_en_US_UT.webp&w=828&q=75
